road_segment_id,name,region_id,road_type,upstream_segments,downstream_segments,signalized_intersection,lanes
S001,Sample Road 1,R1,arterial,,S002,false,3
S002,Sample Road 2,R2,expressway,S001,S003,true,4
S003,Sample Road 3,R3,collector,S002,S004,false,5
S004,Sample Road 4,R4,ramp,S003,S005,true,2
S005,Sample Road 5,R1,arterial,S004,S006,false,3
S006,Sample Road 6,R2,expressway,S005,S007,true,4
S007,Sample Road 7,R3,collector,S006,S008,false,5
S008,Sample Road 8,R4,ramp,S007,S009,true,2
S009,Sample Road 9,R1,arterial,S008,S010,false,3
S010,Sample Road 10,R2,expressway,S009,S011,true,4
S011,Sample Road 11,R3,collector,S010,S012,false,5
S012,Sample Road 12,R4,ramp,S011,S013,true,2
S013,Sample Road 13,R1,arterial,S012,S014,false,3
S014,Sample Road 14,R2,expressway,S013,S015,true,4
S015,Sample Road 15,R3,collector,S014,S016,false,5
S016,Sample Road 16,R4,ramp,S015,S017,true,2
S017,Sample Road 17,R1,arterial,S016,S018,false,3
S018,Sample Road 18,R2,expressway,S017,S019,true,4
S019,Sample Road 19,R3,collector,S018,S020,false,5
S020,Sample Road 20,R4,ramp,S019,S021,true,2
S021,Sample Road 21,R1,arterial,S020,S022,false,3
S022,Sample Road 22,R2,expressway,S021,S023,true,4
S023,Sample Road 23,R3,collector,S022,S024,false,5
S024,Sample Road 24,R4,ramp,S023,S025,true,2
S025,Sample Road 25,R1,arterial,S024,S026,false,3
S026,Sample Road 26,R2,expressway,S025,S027,true,4
S027,Sample Road 27,R3,collector,S026,S028,false,5
S028,Sample Road 28,R4,ramp,S027,S029,true,2
S029,Sample Road 29,R1,arterial,S028,S030,false,3
S030,Sample Road 30,R2,expressway,S029,,true,4
