event_id,timestamp,region_id,road_segment_id,event_type,severity,description,status
E001,2026-06-16 07:10:00,R1,S003,accident,low,Sample accident event on S003,open
E002,2026-06-16 07:20:00,R2,S006,roadwork,medium,Sample roadwork event on S006,processing
E003,2026-06-16 07:30:00,R3,S009,weather,high,Sample weather event on S009,resolved
E004,2026-06-16 07:40:00,R4,S012,illegal_parking,low,Sample illegal_parking event on S012,open
E005,2026-06-16 07:50:00,R1,S015,signal_fault,medium,Sample signal_fault event on S015,processing
E006,2026-06-16 08:00:00,R2,S018,high_demand,high,Sample high_demand event on S018,resolved
E007,2026-06-16 08:10:00,R3,S021,accident,low,Sample accident event on S021,open
E008,2026-06-16 08:20:00,R4,S024,roadwork,medium,Sample roadwork event on S024,processing
E009,2026-06-16 08:30:00,R1,S027,weather,high,Sample weather event on S027,resolved
E010,2026-06-16 08:40:00,R2,S030,illegal_parking,low,Sample illegal_parking event on S030,open
E011,2026-06-16 08:50:00,R3,S003,signal_fault,medium,Sample signal_fault event on S003,processing
E012,2026-06-16 09:00:00,R4,S006,high_demand,high,Sample high_demand event on S006,resolved
E013,2026-06-16 09:10:00,R1,S009,accident,low,Sample accident event on S009,open
E014,2026-06-16 09:20:00,R2,S012,roadwork,medium,Sample roadwork event on S012,processing
E015,2026-06-16 09:30:00,R3,S015,weather,high,Sample weather event on S015,resolved
E016,2026-06-16 09:40:00,R4,S018,illegal_parking,low,Sample illegal_parking event on S018,open
E017,2026-06-16 09:50:00,R1,S021,signal_fault,medium,Sample signal_fault event on S021,processing
E018,2026-06-16 10:00:00,R2,S024,high_demand,high,Sample high_demand event on S024,resolved
E019,2026-06-16 10:10:00,R3,S027,accident,low,Sample accident event on S027,open
E020,2026-06-16 10:20:00,R4,S030,roadwork,medium,Sample roadwork event on S030,processing
E021,2026-06-16 10:30:00,R1,S003,weather,high,Sample weather event on S003,resolved
E022,2026-06-16 10:40:00,R2,S006,illegal_parking,low,Sample illegal_parking event on S006,open
E023,2026-06-16 10:50:00,R3,S009,signal_fault,medium,Sample signal_fault event on S009,processing
E024,2026-06-16 11:00:00,R4,S012,high_demand,high,Sample high_demand event on S012,resolved
E025,2026-06-16 11:10:00,R1,S015,accident,low,Sample accident event on S015,open
E026,2026-06-16 11:20:00,R2,S018,roadwork,medium,Sample roadwork event on S018,processing
E027,2026-06-16 11:30:00,R3,S021,weather,high,Sample weather event on S021,resolved
E028,2026-06-16 11:40:00,R4,S024,illegal_parking,low,Sample illegal_parking event on S024,open
E029,2026-06-16 11:50:00,R1,S027,signal_fault,medium,Sample signal_fault event on S027,processing
E030,2026-06-16 12:00:00,R2,S030,high_demand,high,Sample high_demand event on S030,resolved
E031,2026-06-16 12:10:00,R3,S003,accident,low,Sample accident event on S003,open
E032,2026-06-16 12:20:00,R4,S006,roadwork,medium,Sample roadwork event on S006,processing
E033,2026-06-16 12:30:00,R1,S009,weather,high,Sample weather event on S009,resolved
E034,2026-06-16 12:40:00,R2,S012,illegal_parking,low,Sample illegal_parking event on S012,open
E035,2026-06-16 12:50:00,R3,S015,signal_fault,medium,Sample signal_fault event on S015,processing
E036,2026-06-16 13:00:00,R4,S018,high_demand,high,Sample high_demand event on S018,resolved
E037,2026-06-16 13:10:00,R1,S021,accident,low,Sample accident event on S021,open
E038,2026-06-16 13:20:00,R2,S024,roadwork,medium,Sample roadwork event on S024,processing
E039,2026-06-16 13:30:00,R3,S027,weather,high,Sample weather event on S027,resolved
E040,2026-06-16 13:40:00,R4,S030,illegal_parking,low,Sample illegal_parking event on S030,open
